c
c This is glucose 4.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:          1038                                                                   |
c |  Number of clauses:            2809                                                                   |
c |  Parse time:                   0.00 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.02 Mb                                                                |
c |  Simplification time:          0.01 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |        2         0     5000 |     124      498     1580 |     2     6204        2     3795 | 36.417 % |
c |        2         0    10000 |     124      498     1580 |     3    11211        2     8788 | 36.417 % |
c |        6         0     5000 |     124      498     1580 |     4    13810        2    16189 | 36.417 % |
c |       10         0     4000 |     124      498     1580 |     5    13907        2    26092 | 36.418 % |
c |       14         0     3571 |     124      498     1580 |     5    23907        2    26092 | 36.417 % |
c |       14         0     4285 |     124      498     1580 |     6    21454        2    38545 | 36.417 % |
c |       14         0     5000 |     124      498     1580 |     7    16432        2    53567 | 36.417 % |
c |       14         0     5714 |     124      498     1580 |     7    26432        3    53567 | 36.417 % |
c |       22         0     4090 |     124      498     1580 |     8    18821        3    71178 | 36.416 % |
c |       29         0     3448 |     124      498     1580 |     8    28821        3    71178 | 36.418 % |
c
c Try to adapt solver strategies
c 
c Adjusting for low decision levels.
c
c Activating Chanseok Strategy: moved 3709 clauses to the permanent set.
c Removing of non permanent clauses.
c |       34         0     3235 |     124      498     1916 |    12     3777        3    77172 | 36.416 % |
c |       40         0     3000 |     124      498     2006 |    17     3935        3    86832 | 36.416 % |
c |       55         0     2363 |     124      498     2269 |    22     3926        3    96606 | 36.416 % |
c |       66         0     2121 |     124      498     2401 |    27     3980        3   106459 | 36.416 % |
c |       66         0     2272 |     124      498     2454 |    32     3980        3   116387 | 36.416 % |
c |       89         0     1797 |     124      498     2678 |    37     3922        3   126233 | 36.417 % |
c |       91         0     1868 |     124      498     2790 |    42     3914        3   136027 | 36.417 % |
c |       91         0     1978 |     124      498     2928 |    47     3950        4   145819 | 36.417 % |
c |      103         0     1844 |     124      498     3202 |    52     3916        4   155657 | 36.417 % |
c |      121         0     1652 |     124      498     3257 |    57     3960        5   165493 | 36.416 % |
c |      147         0     1428 |     124      498     3318 |    62     3964        5   175409 | 36.417 % |
c |      153         0     1437 |     124      498     3480 |    67     3929        5   185235 | 36.417 % |
c |      161         0     1428 |     124      498     3595 |    72     3932        5   195061 | 36.417 % |
c |      173         0     1387 |     124      498     3954 |    77     3969        5   204881 | 36.417 % |
c |      193         0     1295 |     124      498     4160 |    82     3962        5   214778 | 36.417 % |
c |      201         0     1293 |     124      498     4320 |    87     3953        5   224627 | 36.417 % |
c |      233         0     1158 |     124      498     4584 |    92     3956        5   234490 | 36.417 % |
c |      260         0     1076 |     124      498     4753 |    97     3981        5   244370 | 36.416 % |
c |      277         0     1046 |     124      498     4879 |   102     3954        5   254267 | 36.416 % |
c |      297         0     1010 |     124      498     5358 |   107     3934        5   264073 | 36.417 % |
c |      330         0      939 |     124      498     5534 |   112     3972        5   273934 | 36.417 % |
c |      371         0      862 |     124      498     5761 |   117     3961        5   283834 | 36.417 % |
c |      401         0      822 |     124      498     6026 |   122     3941        5   293675 | 36.417 % |
c |      436         0      779 |     124      498     6326 |   127     3955        5   303494 | 36.417 % |
c |      450         0      777 |     124      498     6396 |   132     3974        5   313397 | 36.416 % |
c |      474         0      759 |     124      498     6507 |   137     3988        5   323320 | 36.417 % |
c |      513         0      721 |     124      498     6678 |   142     3980        5   333235 | 36.416 % |
c |      551         0      689 |     124      498     6817 |   147     3960        5   343158 | 36.417 % |
c |      560         0      696 |     124      498     7165 |   152     3905        5   352990 | 36.417 % |
c |      579         0      690 |     124      498     7411 |   157     3940        5   362718 | 36.416 % |
c |      608         0      674 |     124      498     7697 |   162     3920        6   372567 | 36.417 % |
c |      608         0      690 |     124      498     8224 |   167     3929        6   382302 | 36.417 % |
c |      647         0      664 |     124      498     8552 |   172     3958        6   392124 | 36.418 % |
