c
c This is glucose 4.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:          1054                                                                   |
c |  Number of clauses:            2891                                                                   |
c |  Parse time:                   0.00 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.02 Mb                                                                |
c |  Simplification time:          0.01 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |        2         0     5000 |     130      527     1689 |     2     6206        1     3793 | 36.244 % |
c |        3         0     6666 |     130      527     1689 |     3    11213        1     8786 | 36.243 % |
c |        3         0    10000 |     130      527     1689 |     4    13808        1    16191 | 36.243 % |
c |        3         0    13333 |     130      527     1689 |     5    13903        1    26096 | 36.243 % |
c |        5         0    10000 |     130      527     1689 |     5    23903        1    26096 | 36.244 % |
c |        5         0    12000 |     130      527     1689 |     6    21457        1    38542 | 36.244 % |
c |        5         0    14000 |     130      527     1689 |     7    16432        1    53567 | 36.244 % |
c |        5         0    16000 |     130      527     1689 |     7    26432        1    53567 | 36.244 % |
c |        5         0    18000 |     130      527     1689 |     8    18817        1    71182 | 36.244 % |
c |        5         0    20000 |     130      527     1689 |     8    28817        1    71182 | 36.244 % |
c
c Try to adapt solver strategies
c 
c Adjusting for low decision levels.
c
c Activating Chanseok Strategy: moved 3509 clauses to the permanent set.
c Removing of non permanent clauses.
c |        8         0    13750 |     130      527     2254 |    12     3673        1    77127 | 36.243 % |
c |       10         0    12000 |     130      527     2939 |    17     3852        2    86506 | 36.244 % |
c |       28         0     4642 |     130      527     3367 |    22     3851        4    96208 | 36.243 % |
c |       34         0     4117 |     130      527     3703 |    27     3877        4   105811 | 36.243 % |
c |       50         0     3000 |     130      527     4177 |    32     3892        4   115486 | 36.243 % |
c |       80         0     2000 |     130      527     4637 |    37     3928        5   125214 | 36.243 % |
c |       93         0     1827 |     130      527     5030 |    42     3911        5   134922 | 36.244 % |
c |       94         0     1914 |     130      527     5262 |    47     3945        5   144724 | 36.244 % |
c |       96         0     1979 |     130      527     5279 |    52     3992        5   154576 | 36.243 % |
c |      106         0     1886 |     130      527     5362 |    57     3968        5   164536 | 36.243 % |
c |      117         0     1794 |     130      527     5835 |    62     3907        5   174305 | 36.243 % |
c |      144         0     1527 |     130      527     6230 |    67     3924        5   184097 | 36.244 % |
c |      148         0     1554 |     130      527     6628 |    72     3888        5   193845 | 36.244 % |
c |      158         0     1518 |     130      527     6837 |    77     3916        5   203585 | 36.243 % |
c |      203         0     1231 |     130      527     7199 |    82     3953        5   213383 | 36.243 % |
c |      220         0     1181 |     130      527     7386 |    87     3943        5   223259 | 36.244 % |
c |      235         0     1148 |     130      527     7549 |    92     3931        5   233066 | 36.243 % |
c |      244         0     1147 |     130      527     8248 |    97     3853        5   242780 | 36.243 % |
c |      274         0     1058 |     130      527     8512 |   102     3946        5   252484 | 36.243 % |
c |      291         0     1030 |     130      527     8970 |   107     3893        5   262329 | 36.244 % |
c |      321         0      965 |     130      527     9580 |   112     3909        8   272057 | 36.243 % |
c |      367         0      871 |     130      527     9766 |   117     3950        8   281844 | 36.243 % |
c |      407         0      810 |     130      527     9981 |   122     3945        8   291667 | 36.243 % |
c |      437         0      778 |     130      527    10190 |   127     3943        9   301521 | 36.244 % |
c |      463         0      755 |     130      527    10960 |   132     3915        9   311218 | 36.243 % |
c |      490         0      734 |     130      527    11051 |   137     3959        9   321054 | 36.243 % |
c |      527         0      702 |     130      527    11229 |   142     3965        9   330917 | 36.243 % |
c |      547         0      694 |     130      527    11374 |   147     3949        9   340810 | 36.244 % |
c |      590         0      661 |     130      527    11712 |   152     3969        9   350633 | 36.244 % |
c |      606         0      660 |     130      527    11877 |   157     3935        9   360421 | 36.243 % |
c |      624         0      657 |     130      527    12120 |   162     3962       10   370248 | 36.243 % |
c |      629         0      667 |     130      527    12181 |   167     3978       10   380146 | 36.243 % |
c |      663         0      648 |     130      527    12390 |   172     3947       10   390034 | 36.243 % |
