c
c This is glucose 4.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:          1015                                                                   |
c |  Number of clauses:            2694                                                                   |
c |  Parse time:                   0.00 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.02 Mb                                                                |
c |  Simplification time:          0.01 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |        3         0     3333 |     118      486     1671 |     2     6206        1     3793 | 36.158 % |
c |        4         0     5000 |     118      486     1671 |     3    11206        3     8793 | 36.158 % |
c |        5         0     6000 |     118      486     1671 |     4    13802        3    16197 | 36.158 % |
c |       11         0     3636 |     118      486     1671 |     5    13903        3    26096 | 36.159 % |
c |       13         0     3846 |     118      486     1671 |     5    23903        3    26096 | 36.159 % |
c |       22         0     2727 |     118      486     1671 |     6    21454        3    38545 | 36.158 % |
c |       27         0     2592 |     118      486     1671 |     7    16431        3    53568 | 36.159 % |
c |       27         0     2962 |     118      486     1671 |     7    26431        3    53568 | 36.159 % |
c |       27         0     3333 |     118      486     1671 |     8    18817        3    71182 | 36.159 % |
c |       27         0     3703 |     118      486     1671 |     8    28817        3    71182 | 36.159 % |
c
c Try to adapt solver strategies
c 
c Adjusting for low decision levels.
c
c Activating Chanseok Strategy: moved 3283 clauses to the permanent set.
c Removing of non permanent clauses.
c |       28         0     3928 |     118      486     1751 |    12     3812        3    77226 | 36.158 % |
c |       29         0     4137 |     118      486     1908 |    17     3930        3    86938 | 36.158 % |
c |       29         0     4482 |     118      486     1966 |    22     3951        3    96821 | 36.158 % |
c |       29         0     4827 |     118      486     2046 |    27     3959        3   106679 | 36.158 % |
c |       36         0     4166 |     118      486     2322 |    32     3959        3   116516 | 36.158 % |
c |       46         0     3478 |     118      486     2720 |    37     3912        3   126351 | 36.158 % |
c |       46         0     3695 |     118      486     2951 |    42     3945        3   136171 | 36.158 % |
c |       50         0     3600 |     118      486     3064 |    47     3969        3   146025 | 36.158 % |
c |       65         0     2923 |     118      486     3197 |    52     3954        3   155902 | 36.158 % |
c |       72         0     2777 |     118      486     3422 |    57     3952        3   165719 | 36.158 % |
c |       75         0     2800 |     118      486     3577 |    62     3968        3   175585 | 36.159 % |
c |       79         0     2784 |     118      486     3793 |    67     3944        3   185467 | 36.159 % |
c |       79         0     2911 |     118      486     3947 |    72     3933        3   195312 | 36.159 % |
c |       90         0     2666 |     118      486     4090 |    77     3948        4   205156 | 36.158 % |
c |      116         0     2155 |     118      486     4157 |    82     3970        4   215041 | 36.158 % |
c |      116         0     2241 |     118      486     4412 |    87     3942        4   224910 | 36.158 % |
c |      116         0     2327 |     118      486     4913 |    92     3946        4   234649 | 36.158 % |
c |      118         0     2372 |     118      486     5168 |    97     3955        4   244452 | 36.158 % |
c |      142         0     2042 |     118      486     5460 |   102     3954        4   254296 | 36.158 % |
c |      161         0     1863 |     118      486     5849 |   107     3953        4   264137 | 36.158 % |
c |      186         0     1666 |     118      486     5904 |   112     3944        4   274030 | 36.158 % |
c |      186         0     1720 |     118      486     6057 |   117     3929        4   283845 | 36.158 % |
c |      202         0     1633 |     118      486     6200 |   122     3959        5   293666 | 36.158 % |
c |      216         0     1574 |     118      486     6404 |   127     3951        5   303535 | 36.158 % |
c |      236         0     1483 |     118      486     6707 |   132     3968        5   313355 | 36.158 % |
c |      259         0     1389 |     118      486     7141 |   137     3932        5   323213 | 36.158 % |
c |      267         0     1385 |     118      486     7272 |   142     3963        5   333077 | 36.158 % |
c |      267         0     1423 |     118      486     7732 |   147     3865        5   342936 | 36.158 % |
c |      276         0     1413 |     118      486     7815 |   152     3971        5   352725 | 36.158 % |
c |      293         0     1365 |     118      486     7930 |   157     3942        5   362632 | 36.158 % |
c |      302         0     1357 |     118      486     8234 |   162     3949        5   372487 | 36.158 % |
c |      333         0     1261 |     118      486     8356 |   167     3975        5   382354 | 36.158 % |
