c
c This is glucose 4.1 --  based on MiniSAT (Many thanks to MiniSAT team)
c
c ========================================[ Problem Statistics ]===========================================
c |                                                                                                       |
c |  Number of variables:         12308                                                                   |
c |  Number of clauses:           30518                                                                   |
c |  Parse time:                   0.04 s                                                                 |
c |                                                                                                       |
c | Preprocesing is fully done
c |  Eliminated clauses:           0.13 Mb                                                                |
c |  Simplification time:          0.08 s                                                                 |
c |                                                                                                       |
c ========================================[ MAGIC CONSTANTS ]==============================================
c | Constants are supposed to work well together :-)                                                      |
c | however, if you find better choices, please let us known...                                           |
c |-------------------------------------------------------------------------------------------------------|
c | Adapt dynamically the solver after 100000 conflicts (restarts, reduction strategies...)               |
c |-------------------------------------------------------------------------------------------------------|
c |                                |                                |                                     |
c | - Restarts:                    | - Reduce Clause DB:            | - Minimize Asserting:               |
c |   * LBD Queue    :     50      |   * First     :   2000         |    * size <  30                     |
c |   * Trail  Queue :   5000      |   * Inc       :    300         |    * lbd  <   6                     |
c |   * K            :   0.80      |   * Special   :   1000         |                                     |
c |   * R            :   1.40      |   * Protected :  (lbd)< 30     |                                     |
c |                                |                                |                                     |
c ==================================[ Search Statistics (every  10000 conflicts) ]=========================
c |                                                                                                       |
c |          RESTARTS           |          ORIGINAL         |              LEARNT              | Progress |
c |       NB   Blocked  Avg Cfc |    Vars  Clauses Literals |   Red   Learnts    LBD2  Removed |          |
c =========================================================================================================
c |        4         0     2500 |     131      528     1629 |     2     6204        1     3795 |  3.104 % |
c |        5         0     4000 |     131      528     1629 |     3    11204        2     8795 |  3.104 % |
c |        7         0     4285 |     131      528     1629 |     4    13805        7    16194 |  3.104 % |
c |       10         0     4000 |     131      528     1629 |     5    13907        7    26092 |  3.104 % |
c |       12         0     4166 |     131      528     1629 |     5    23907        8    26092 |  3.104 % |
c |       12         0     5000 |     131      528     1629 |     6    21454        8    38545 |  3.104 % |
c |       20         0     3500 |     131      528     1629 |     7    16428        8    53571 |  3.104 % |
c |       27         0     2962 |     131      528     1629 |     7    26428       10    53571 |  3.104 % |
c |       40         0     2250 |     131      528     1629 |     8    18820       10    71179 |  3.104 % |
c |       40         0     2500 |     131      528     1629 |     8    28820       11    71179 |  3.104 % |
c
c Try to adapt solver strategies
c 
c Nothing extreme in this problem, continue with glucose default strategies.
c
c |       52         0     2115 |     131      528     1629 |     8    38819       12    71179 |  3.104 % |
c |       54         0     2222 |     131      528     1629 |     9    28615       13    91383 |  3.104 % |
c |       55         0     2363 |     131      528     1629 |     9    38615       13    91383 |  3.104 % |
c |       63         0     2222 |     131      528     1629 |    10    25813       14   114185 |  3.104 % |
c |       67         0     2238 |     131      528     1629 |    10    35813       14   114185 |  3.104 % |
c |       75         0     2133 |     131      528     1629 |    10    45813       14   114185 |  3.104 % |
c |       84         0     2023 |     131      528     1629 |    11    30411       15   139587 |  3.104 % |
c |       86         0     2093 |     131      528     1629 |    11    40411       15   139587 |  3.104 % |
c |       96         0     1979 |     131      528     1629 |    11    50411       15   139587 |  3.104 % |
c |      111         0     1801 |     131      528     1629 |    12    32408       15   167590 |  3.104 % |
c |      112         0     1875 |     131      528     1629 |    12    42408       15   167590 |  3.104 % |
c |      112         0     1964 |     131      528     1629 |    12    52408       15   167590 |  3.104 % |
c |      114         0     2017 |     131      528     1629 |    13    31815       15   198183 |  3.104 % |
c |      126         0     1904 |     131      528     1629 |    13    41815       15   198183 |  3.104 % |
c |      139         0     1798 |     131      528     1629 |    13    51815       15   198183 |  3.104 % |
c |      152         0     1710 |     131      528     1629 |    13    61815       15   198183 |  3.104 % |
c |      157         0     1719 |     131      528     1629 |    14    38610       15   231388 |  3.104 % |
c |      175         0     1600 |     131      528     1629 |    14    48610       15   231388 |  3.104 % |
c |      201         0     1442 |     131      528     1629 |    14    58610       15   231388 |  3.104 % |
c |      227         0     1321 |     131      528     1629 |    14    68610       15   231388 |  3.104 % |
c |      245         0     1265 |     131      528     1629 |    15    42809       15   267189 |  3.104 % |
c |      249         0     1285 |     131      528     1629 |    15    52809       15   267189 |  3.104 % |
c |      279         0     1182 |     131      528     1629 |    15    62809       15   267189 |  3.104 % |
c |      301         0     1129 |     131      528     1629 |    15    72809       15   267189 |  3.104 % |
c |      305         0     1147 |     131      528     1629 |    16    44406       15   305592 |  3.104 % |
c |      315         0     1142 |     131      528     1629 |    16    54406       15   305592 |  3.104 % |
c |      325         0     1138 |     131      528     1629 |    16    64406       15   305592 |  3.104 % |
c |      339         0     1120 |     131      528     1629 |    16    74406       15   305592 |  3.104 % |
c |      358         0     1089 |     131      528     1629 |    17    43405       15   346593 |  3.104 % |
c |      365         0     1095 |     131      528     1629 |    17    53405       15   346593 |  3.104 % |
c |      375         0     1093 |     131      528     1629 |    17    63405       15   346593 |  3.104 % |
c |      392         0     1071 |     131      528     1629 |    17    73405       15   346593 |  3.104 % |
c |      400         0     1075 |     131      528     1629 |    17    83405       15   346593 |  3.104 % |
